ampere;volt
-0.0006673;0.000145
-0.0006766;0.013599
-0.0006766;0.033981
-0.0006761;0.067797
-0.0006524;0.32617
-0.0005646;0.39532
-0.0006141;0.3686
-0.0005158;0.41277
-0.000472;0.42478
-0.0004334;0.43352
-0.0003711;0.44532
-0.0003235;0.45284
-0.0002863;0.45807
-0.0002566;0.46191
-0.0002324;0.46483
-0.000188;0.46987
-0.0001577;0.47306
-0.0001193;0.47686
-0.0000801;0.48049
-0.0000603;0.48223
-0.0000484;0.48324
-0.0000049;0.48685
-0.0006795;0.13588
-0.0006787;0.20349
-0.0006745;0.26957
-0.0006677;0.30018
-0.0006369;0.35015
-0.0005899;0.38337
-0.0005397;0.40478
-0.0003997;0.43987